Ticker,Company Name
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/
AMTX,"AEMETIS, INC"
CETY,"CLEAN ENERGY TECHNOLOGIES, INC."
CSIQ,CANADIAN SOLAR INC.
CVA,COVANTA HOLDING CORP
DQ,DAQO NEW ENERGY CORP.
ENPH,Enphase Energy Inc
ENS,Enersys
FCEL,FUELCELL ENERGY INC
FSLR,"FIRST SOLAR, INC."
GEVO,"GEVO, INC."
GFGY,"GRANITE FALLS ENERGY, LLC"
HEOL,HIGHWATER ETHANOL LLC
LKCRU,LAKE AREA CORN PROCESSORS LLC
MNGA,"TARONIS TECHNOLOGIES, INC."
OPTT,"OCEAN POWER TECHNOLOGIES, INC."
ORA,Ormat Technologies
PEIX,"PACIFIC ETHANOL, INC."
PLUG,PLUG POWER INC
REGI,"RENEWABLE ENERGY GROUP, INC."
RGSE,"REAL GOODS SOLAR, INC."
SANM,SANMINA CORP
SOL,RENESOLA LTD
SPWR,SUNPOWER CORP
STRI,"STR HOLDINGS, INC."
TSLA,Tesla Inc.
