Date,Index Level
3/1/2014,100
3/2/2014,100
3/3/2014,100
3/4/2014,100
3/5/2014,100
3/6/2014,100
3/7/2014,100
3/8/2014,100
3/9/2014,100
3/10/2014,100
3/11/2014,100
3/12/2014,100
3/13/2014,100
3/14/2014,100
3/15/2014,100
3/16/2014,100
3/17/2014,100
3/18/2014,100
3/19/2014,100
3/20/2014,100
3/21/2014,100
3/22/2014,100
3/23/2014,100
3/24/2014,100
3/25/2014,100
3/26/2014,100
3/27/2014,100
3/28/2014,100
3/29/2014,100
3/30/2014,100
3/31/2014,100
4/1/2014,100
4/2/2014,100
4/3/2014,100
4/4/2014,100
4/5/2014,100
4/6/2014,100
4/7/2014,100
4/8/2014,100
4/9/2014,100
4/10/2014,100
4/11/2014,100
4/12/2014,100
4/13/2014,100
4/14/2014,100
4/15/2014,100
4/16/2014,100
4/17/2014,100
4/18/2014,100
4/19/2014,100
4/20/2014,100
4/21/2014,100
4/22/2014,100
4/23/2014,100.0767913
4/24/2014,101.4845232
4/25/2014,102.9555907
4/26/2014,102.9555907
4/27/2014,102.9555907
4/28/2014,102.9555907
4/29/2014,102.9555907
4/30/2014,102.9555907
5/1/2014,102.9555907
5/2/2014,102.9555907
5/3/2014,102.9555907
5/4/2014,102.9555907
5/5/2014,102.9555907
5/6/2014,102.9555907
5/7/2014,102.9555907
5/8/2014,102.9555907
5/9/2014,102.9555907
5/10/2014,102.9555907
5/11/2014,102.9555907
5/12/2014,102.9555907
5/13/2014,102.9555907
5/14/2014,102.9555907
5/15/2014,102.9555907
5/16/2014,102.9555907
5/17/2014,102.9555907
5/18/2014,102.9555907
5/19/2014,102.9555907
5/20/2014,102.9555907
5/21/2014,102.9555907
5/22/2014,102.9555907
5/23/2014,102.9555907
5/24/2014,102.9555907
5/25/2014,102.9555907
5/26/2014,102.9555907
5/27/2014,102.9555907
5/28/2014,102.9555907
5/29/2014,102.9555907
5/30/2014,102.9555907
5/31/2014,102.9555907
6/1/2014,102.9555907
6/2/2014,102.9555907
6/3/2014,102.9555907
6/4/2014,102.9555907
6/5/2014,102.9555907
6/6/2014,102.9555907
6/7/2014,102.9555907
6/8/2014,102.9555907
6/9/2014,102.9555907
6/10/2014,102.9555907
6/11/2014,102.9555907
6/12/2014,102.9555907
6/13/2014,102.9555907
6/14/2014,102.9555907
6/15/2014,102.9555907
6/16/2014,102.9555907
6/17/2014,102.9555907
6/18/2014,102.9555907
6/19/2014,102.9555907
6/20/2014,102.9555907
6/21/2014,102.9555907
6/22/2014,102.9555907
6/23/2014,102.9555907
6/24/2014,102.9555907
6/25/2014,102.9555907
6/26/2014,102.9555907
6/27/2014,102.9555907
6/28/2014,102.9555907
6/29/2014,102.9555907
6/30/2014,102.9555907
7/1/2014,102.9555907
7/2/2014,102.9555907
7/3/2014,102.9555907
7/4/2014,102.9555907
7/5/2014,102.9555907
7/6/2014,102.9555907
7/7/2014,102.9555907
7/8/2014,102.9555907
7/9/2014,102.9555907
7/10/2014,102.9555907
7/11/2014,102.9555907
7/12/2014,102.9555907
7/13/2014,102.9555907
7/14/2014,102.9555907
7/15/2014,102.9555907
7/16/2014,102.9555907
7/17/2014,102.9555907
7/18/2014,102.9555907
7/19/2014,102.9555907
7/20/2014,102.9555907
7/21/2014,102.9555907
7/22/2014,103.0401529
7/23/2014,103.6981552
7/24/2014,104.0404163
7/25/2014,106.063407
7/26/2014,106.063407
7/27/2014,106.063407
7/28/2014,106.063407
7/29/2014,106.063407
7/30/2014,106.063407
7/31/2014,106.063407
8/1/2014,106.063407
8/2/2014,106.063407
8/3/2014,106.063407
8/4/2014,106.063407
8/5/2014,106.063407
8/6/2014,106.063407
8/7/2014,106.063407
8/8/2014,106.063407
8/9/2014,106.063407
8/10/2014,106.063407
8/11/2014,106.063407
8/12/2014,106.063407
8/13/2014,106.063407
8/14/2014,106.063407
8/15/2014,106.063407
8/16/2014,106.063407
8/17/2014,106.063407
8/18/2014,106.063407
8/19/2014,106.063407
8/20/2014,106.063407
8/21/2014,106.063407
8/22/2014,106.063407
8/23/2014,106.063407
8/24/2014,106.063407
8/25/2014,106.063407
8/26/2014,106.063407
8/27/2014,106.063407
8/28/2014,106.063407
8/29/2014,106.063407
8/30/2014,106.063407
8/31/2014,106.063407
9/1/2014,106.063407
9/2/2014,106.063407
9/3/2014,106.063407
9/4/2014,106.063407
9/5/2014,106.063407
9/6/2014,106.063407
9/7/2014,106.063407
9/8/2014,106.063407
9/9/2014,106.063407
9/10/2014,106.063407
9/11/2014,106.063407
9/12/2014,106.063407
9/13/2014,106.063407
9/14/2014,106.063407
9/15/2014,106.063407
9/16/2014,106.063407
9/17/2014,106.063407
9/18/2014,106.063407
9/19/2014,106.063407
9/20/2014,106.063407
9/21/2014,106.063407
9/22/2014,106.063407
9/23/2014,106.063407
9/24/2014,106.063407
9/25/2014,106.063407
9/26/2014,106.063407
9/27/2014,106.063407
9/28/2014,106.063407
9/29/2014,106.063407
9/30/2014,106.063407
10/1/2014,106.063407
10/2/2014,106.063407
10/3/2014,106.063407
10/4/2014,106.063407
10/5/2014,106.063407
10/6/2014,106.063407
10/7/2014,106.063407
10/8/2014,106.063407
10/9/2014,106.063407
10/10/2014,106.063407
10/11/2014,106.063407
10/12/2014,106.063407
10/13/2014,106.063407
10/14/2014,106.063407
10/15/2014,106.063407
10/16/2014,106.063407
10/17/2014,106.063407
10/18/2014,106.063407
10/19/2014,106.063407
10/20/2014,106.1580773
10/21/2014,106.1580773
10/22/2014,106.1580773
10/23/2014,107.0219979
10/24/2014,108.1099326
10/25/2014,108.1099326
10/26/2014,108.1099326
10/27/2014,109.5610322
10/28/2014,109.5610322
10/29/2014,109.5610322
10/30/2014,109.931685
10/31/2014,109.931685
11/1/2014,109.931685
11/2/2014,109.931685
11/3/2014,109.931685
11/4/2014,109.931685
11/5/2014,109.931685
11/6/2014,109.931685
11/7/2014,109.931685
11/8/2014,109.931685
11/9/2014,109.931685
11/10/2014,109.931685
11/11/2014,109.931685
11/12/2014,109.931685
11/13/2014,109.931685
11/14/2014,109.931685
11/15/2014,109.931685
11/16/2014,109.931685
11/17/2014,109.931685
11/18/2014,109.931685
11/19/2014,109.931685
11/20/2014,109.931685
11/21/2014,109.931685
11/22/2014,109.931685
11/23/2014,109.931685
11/24/2014,109.931685
11/25/2014,109.931685
11/26/2014,109.931685
11/27/2014,109.931685
11/28/2014,109.931685
11/29/2014,109.931685
11/30/2014,109.931685
12/1/2014,109.931685
12/2/2014,109.931685
12/3/2014,109.931685
12/4/2014,109.931685
12/5/2014,109.931685
12/6/2014,109.931685
12/7/2014,109.931685
12/8/2014,109.931685
12/9/2014,109.931685
12/10/2014,109.931685
12/11/2014,109.931685
12/12/2014,109.931685
12/13/2014,109.931685
12/14/2014,109.931685
12/15/2014,109.931685
12/16/2014,109.931685
12/17/2014,109.931685
12/18/2014,109.931685
12/19/2014,109.931685
12/20/2014,109.931685
12/21/2014,109.931685
12/22/2014,109.931685
12/23/2014,109.931685
12/24/2014,109.931685
12/25/2014,109.931685
12/26/2014,109.931685
12/27/2014,109.931685
12/28/2014,109.931685
12/29/2014,109.931685
12/30/2014,109.931685
12/31/2014,109.931685
1/1/2015,109.931685
1/2/2015,109.931685
1/3/2015,109.931685
1/4/2015,109.931685
1/5/2015,109.931685
1/6/2015,109.931685
1/7/2015,109.931685
1/8/2015,109.931685
1/9/2015,109.931685
1/10/2015,109.931685
1/11/2015,109.931685
1/12/2015,109.931685
1/13/2015,109.931685
1/14/2015,109.931685
1/15/2015,109.931685
1/16/2015,109.931685
1/17/2015,109.931685
1/18/2015,109.931685
1/19/2015,109.931685
1/20/2015,109.931685
1/21/2015,109.931685
1/22/2015,109.931685
1/23/2015,109.931685
1/24/2015,109.931685
1/25/2015,109.931685
1/26/2015,109.931685
1/27/2015,109.931685
1/28/2015,115.2371996
1/29/2015,115.7284388
1/30/2015,116.8959328
1/31/2015,116.8959328
2/1/2015,116.8959328
2/2/2015,116.8959328
2/3/2015,116.8959328
2/4/2015,116.8959328
2/5/2015,116.8959328
2/6/2015,116.8959328
2/7/2015,116.8959328
2/8/2015,116.8959328
2/9/2015,116.3000179
2/10/2015,116.3000179
2/11/2015,116.3000179
2/12/2015,116.3000179
2/13/2015,116.3000179
2/14/2015,116.3000179
2/15/2015,116.3000179
2/16/2015,116.3000179
2/17/2015,116.3000179
2/18/2015,116.3000179
2/19/2015,116.3000179
2/20/2015,116.3000179
2/21/2015,116.3000179
2/22/2015,116.3000179
2/23/2015,116.3000179
2/24/2015,116.3000179
2/25/2015,116.3000179
2/26/2015,116.3000179
2/27/2015,116.3000179
2/28/2015,116.3000179
3/1/2015,116.3000179
3/2/2015,116.3000179
3/3/2015,116.3000179
